Id,Iq,Vd,Vq,Wm,Output,,,
84.80318499,-0.204986534,253.1898646,225.4238064,317.692278,0,,,
84.83900584,0.033744355,252.8255203,225.8323632,309.9905522,0,,,
84.83387498,0.56917637,251.4419621,227.3718094,316.0130841,0,,,
84.81785689,-0.393373761,253.6752728,224.8774243,315.2380728,0,,,
84.83878797,0.437641537,251.8698174,226.8977635,310.6308063,0,,,
84.81269494,0.208656592,252.2285925,226.4988678,318.3436001,0,,,
84.8311482,-0.343072853,253.6338425,224.9241515,312.3416281,0,,,
84.84319439,0.631405147,251.3603618,227.4620156,312.9657676,0,,,
84.80229761,-0.191121467,253.1565182,225.4612546,317.8087271,0,,,
84.83874654,0.002632581,252.8966334,225.752725,310.0336772,0,,,
84.83515968,0.584672011,251.4107113,227.4063637,315.7902801,0,,,
84.81646499,-0.395086306,253.6758249,224.8768016,315.3821129,0,,,
84.83854848,0.430429369,251.8899593,226.8754028,310.5238732,0,,,
84.813392,0.231351452,252.1765404,226.5568196,318.338207,0,,,
84.83050797,-0.357405707,253.6628777,224.8914059,312.4993759,0,,,
84.84306122,0.634386434,251.356535,227.4662444,312.8317576,0,,,
84.80165434,-0.18330334,253.1365841,225.4836352,317.9249134,0,,,
84.83860458,-0.02115163,252.9516212,225.6911104,310.0368595,0,,,
84.83614488,0.599781981,251.3792485,227.4411427,315.6213996,0,,,
84.81506752,-0.399248132,253.6821772,224.8696354,315.5245015,0,,,
84.83843052,0.423667955,251.9094346,226.8537784,310.399947,0,,,
84.81407315,0.255377904,252.1211958,226.6184076,318.3414885,0,,,
84.82977861,-0.373434327,253.6955644,224.8545321,312.6679526,0,,,
84.84286215,0.638715881,251.3501086,227.4733455,312.6789509,0,,,
84.80089084,-0.175016953,253.115238,225.507597,318.0631188,0,,,
84.83842494,-0.048247557,253.0143482,225.6207872,310.0380462,0,,,
84.83725105,0.6170715,251.3433364,227.4808283,315.4257542,0,,,
84.81326964,-0.405083964,253.6919358,224.8586261,315.6919111,0,,,
84.83829716,0.416938166,251.9297742,226.8311903,310.2490462,0,,,
84.81481331,0.283227778,252.0570111,226.689795,318.3498815,0,,,
84.82889159,-0.392270719,253.7340154,224.8111417,312.866641,0,,,
84.84252282,0.644738885,251.3406363,227.4838116,312.4942874,0,,,
84.79992275,-0.165924933,253.0915837,225.5341443,318.2347021,0,,,
84.83818441,-0.080581006,253.0892962,225.5367113,310.0375331,0,,,
84.83855035,0.637563638,251.3009637,227.5276371,315.187484,0,,,
84.81097749,-0.395918835,253.6630897,224.8911669,316.0469758,0,,,
84.83821079,0.38374948,252.0133197,226.7383661,310.034862,0,,,
84.81702829,0.337204802,251.9354441,226.8248928,318.2103177,0,,,
84.8272932,-0.411799796,253.7686062,224.7720946,313.2763642,0,,,
84.84195697,0.622417152,251.4039026,227.4138908,312.0319775,0,,,
84.79960868,-0.120696083,252.9845783,225.6541671,318.4651365,0,,,
84.83726967,-0.145722596,253.2345757,225.373578,310.25382,0,,,
84.8408001,0.656298806,251.268323,227.5636831,314.6734591,0,,,
84.80778057,-0.355052593,253.5562585,225.0116081,316.6389352,0,,,
84.83821027,0.320409026,252.168434,226.5658422,309.7985557,0,,,
84.82082874,0.412136327,251.7697306,227.0088164,317.8675383,0,,,
84.82502153,-0.424833211,253.7834043,224.7553864,313.8751646,0,,,
84.84144822,0.569852836,251.5409315,227.2623149,311.4260983,0,,,
84.80192813,-0.033041763,252.7799379,225.8833836,318.6674898,0,,,
84.83577002,-0.228813219,253.4134455,225.1724353,310.7406393,0,,,
84.84309805,0.662567634,251.2677872,227.5642746,313.9860375,0,,,
84.80507048,-0.289312841,253.3919565,225.1966172,317.2509732,0,,,
84.83955606,0.177638277,252.5000665,226.1961901,309.7198624,0,,,
84.82781911,0.509399676,251.5608599,227.2402556,317.0045474,0,,,
84.82154949,-0.412535951,253.7334307,224.8118016,314.6965202,0,,,
84.84021579,0.484826471,251.752434,227.0279982,310.8751172,0,,,
84.80917786,0.128148533,252.4100846,226.2965956,318.5294563,0,,,
84.83288636,-0.312210444,253.5774501,224.9877259,311.7761422,0,,,
84.84382201,0.638809385,251.3371966,227.487612,313.2523211,0,,,
84.80342405,-0.211916635,253.2063606,225.4052771,317.6532686,0,,,
84.83911203,0.046061708,252.7976654,225.8635437,309.9640288,0,,,
84.83337565,0.564161275,251.4517802,227.3609514,316.101249,0,,,
84.81829169,-0.39381816,253.6774292,224.8749918,315.1917455,0,,,
84.83890389,0.440269002,251.8627924,226.9055614,310.6581455,0,,,
84.81246237,0.201943766,252.2438684,226.4818555,318.3502217,0,,,
84.83132168,-0.339388828,253.6265439,224.9323815,312.2947464,0,,,
84.84323757,0.630965564,251.3606104,227.4617408,312.99997,0,,,
84.80246018,-0.193165697,253.1616653,225.4554751,317.7812871,0,,,
84.83878147,0.008526805,252.8830253,225.7679683,310.0319198,0,,,
84.83491339,0.581016444,251.4183113,227.3979611,315.8318484,0,,,
84.81678341,-0.394234278,253.6746476,224.8781295,315.3481241,0,,,
84.83857974,0.432167171,251.8850569,226.8808456,310.5526017,0,,,
84.81322303,0.225604842,252.1897708,226.5420922,318.3379889,0,,,
84.83067695,-0.353611716,253.6551475,224.9001248,312.4594305,0,,,
84.84309717,0.633477466,251.3578138,227.4648312,312.8674018,0,,,
84.8018271,-0.185343952,253.1418115,225.4777667,317.8932457,0,,,
84.83864366,-0.014787954,252.9369013,225.7076073,310.0363108,0,,,
84.83588267,0.595719228,251.3877052,227.4317956,315.6668224,0,,,
84.81545781,-0.398040632,253.680264,224.8717938,315.4858871,0,,,
84.83846159,0.425411177,251.9043418,226.8594335,310.4339977,0,,,
84.81389307,0.248887514,252.1361492,226.6017702,318.340251,0,,,
84.82997908,-0.369082641,253.6866868,224.864548,312.6221573,0,,,
84.84292407,0.637465226,251.3520094,227.4712451,312.7208093,0,,,
84.80110359,-0.177214186,253.1209172,225.5012223,318.0248934,0,,,
84.83847602,-0.04085627,252.9972295,225.6399828,310.0378909,0,,,
84.83695092,0.612360527,251.3531083,227.4700308,315.4794855,0,,,
84.8137827,-0.403380469,253.6890139,224.8619226,315.6457751,0,,,
84.83833393,0.418656849,251.9244545,226.8370984,310.2911561,0,,,
84.81461581,0.275599874,252.0745941,226.6702428,318.3470656,0,,,
84.82913872,-0.387085857,253.7234277,224.8230909,312.8118697,0,,,
84.84262802,0.642985298,251.3434373,227.4807168,312.545703,0,,,
84.80019685,-0.168362788,253.097951,225.5269988,318.1864733,0,,,
84.83825374,-0.071622415,253.068521,225.5600223,310.037844,0,,,
84.83819252,0.631910566,251.3126296,227.5147516,315.2540265,0,,,
84.81159138,-0.399155581,253.6727814,224.8802347,315.9443493,0,,,
84.83821396,0.393827981,251.9881389,226.7663508,310.094188,0,,,
84.8163779,0.321871674,251.9698803,226.7866385,318.2555317,0,,,
84.8277564,-0.406817658,253.7601212,224.7816738,313.1583956,0,,,
84.84204906,0.631238932,251.3798961,227.440427,312.1749884,0,,,
84.79953944,-0.136206915,253.0210887,225.613228,318.4019511,0,,,
84.83757393,-0.126201679,253.1914678,225.4220057,310.1744099,0,,,
84.84016288,0.652063287,251.274873,227.5564505,314.8301763,0,,,
84.80862085,-0.368497737,253.5907746,224.9727074,316.4727655,0,,,
84.83813778,0.338611014,252.1240397,226.6152435,309.8590897,0,,,
84.81975484,0.392141337,251.8137752,226.9599582,317.9690597,0,,,
84.82564965,-0.422135046,253.781323,224.7577364,313.7129324,0,,,
84.8415708,0.584630744,251.5028203,227.3044905,311.5795806,0,,,
84.80040395,-0.069209547,252.8643515,225.7888831,318.631007,0,,,
84.83634189,-0.202333653,253.3582511,225.2345369,310.531937,0,,,
84.84251659,0.66476677,251.2583262,227.5747208,314.2086375,0,,,
84.80573643,-0.312639068,253.4490689,225.1323377,317.0865179,0,,,
84.8393168,0.224849119,252.3918926,226.3168853,309.6940875,0,,,
84.82565311,0.483608349,251.6148639,227.1804575,317.3059934,0,,,
84.82257765,-0.419756666,253.7560111,224.7863137,314.4722713,0,,,
84.84065692,0.508818436,251.6935916,227.0932319,310.9920461,0,,,
84.80736396,0.089087944,252.4987055,226.1977094,318.6068772,0,,,
84.83363176,-0.296702306,253.5488055,225.0200063,311.5110181,0,,,
84.84392159,0.645517311,251.3188782,227.5078493,313.393707,0,,,
84.80374512,-0.225952895,253.2395274,225.3680141,317.5934737,0,,,
84.83930463,0.068036516,252.7483236,225.9187573,309.904572,0,,,
84.83249339,0.556762499,251.4657448,227.3455062,316.2588265,0,,,
84.81891698,-0.396249062,253.6847708,224.8667096,315.1229851,0,,,
84.83914028,0.44475959,251.8512849,226.918334,310.6863068,0,,,
84.81210315,0.193054073,252.2638437,226.459606,318.369648,0,,,
84.831526,-0.335732543,253.6197283,224.9400663,312.2314519,0,,,
84.84332412,0.631190019,251.3593387,227.4631461,313.0342085,0,,,
84.80262742,-0.195149719,253.1665342,225.4500077,317.7586545,0,,,
84.83881967,0.013869643,252.8707246,225.7817456,310.0280179,0,,,
84.83468963,0.577956332,251.424604,227.3910036,315.8697973,0,,,
84.81705132,-0.393650292,253.673964,224.8789007,315.3197077,0,,,
84.83861324,0.433609387,251.8810027,226.8853466,310.5756238,0,,,
84.8130828,0.220906361,252.2005766,226.5300624,318.3381583,0,,,
84.83081277,-0.350541916,253.6488998,224.9071711,312.426841,0,,,
84.84312389,0.632782963,251.3587601,227.4637855,312.8961237,0,,,
